VOUCHER_DATE,VOUCHER_NO,VOUCHER_CODE,AC_CODE,SUB_CODE,PARTICULARS,CURRENCY_CODE,AMOUNT,CONVERSION_RATE,NRS_AMOUNT,TRANSACTION_TYPE,COST_REVENUE_CODE,INVOICE_NO,VOU_PERIOD,AGAINST_AC_CODE,AGAINST_SUB_CODE,CHEQUE_NO,SERIAL_NO,FISCAL_YEAR,AC_NAME,NEPSE_CUSTOMER_CODE
*********
16-JUL-16,7374-00001,JVR,1030201000012,"",Interest for the monh of Baishakh to Ashadh trnsf.frm Call A/c,NRS,,,185596.05,DR,"","","","","","","",2073/2074,GLOBAL IME BANK LTD. CALL,""
16-JUL-16,7374-00001,JVR,1030201000011,"",Interest for the monh of Baishakh to Ashadh trnsf.to  Current  A/c,NRS,,,185596.05,CR,"","","","","","","",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
*********
28-JUL-16,7374-01533,JVR,20419,"",CHQ PURCHASE SETTLED CHQNO8360000007,NRS,,,10000000,DR,"","","","","",8360000007,"",2073/2074,Cheque Purchase,""
28-JUL-16,7374-01533,JVR,20419,"",CHQ PURCHASE SETTLED CHQNO2460000012,NRS,,,4000000,DR,"","","","","",2460000012,"",2073/2074,Cheque Purchase,""
28-JUL-16,7374-01533,JVR,20419,"",CHQ PURCHASE SETTLED CHQNO4942576,NRS,,,2000000,DR,"","","","","",4942576,"",2073/2074,Cheque Purchase,""
28-JUL-16,7374-01533,JVR,20419,"",CHQ PURCHASE SETTLED CHQNO5460000011,NRS,,,20000000,DR,"","","","","",5460000011,"",2073/2074,Cheque Purchase,""
28-JUL-16,7374-01533,JVR,1030201000011,"",CHQ PURCHASE SETTLED CHQNO8360000007,NRS,,,10000000,CR,"","","","","",8360000007,"",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
28-JUL-16,7374-01533,JVR,1030201000011,"",CHQ PURCHASE SETTLED CHQNO2460000012,NRS,,,4000000,CR,"","","","","",2460000012,"",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
28-JUL-16,7374-01533,JVR,1030201000011,"",CHQ PURCHASE SETTLED CHQNO4942576,NRS,,,2000000,CR,"","","","","",4942576,"",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
28-JUL-16,7374-01533,JVR,1030201000011,"",CHQ PURCHASE SETTLED CHQNO5460000011,NRS,,,20000000,CR,"","","","","",5460000011,"",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
*********
28-JUL-16,7374-01534,JVR,4010000000039,"",EXPRESS CHQ PRESEMENT FEE on 28-07-2016,NRS,,,2100,DR,"","","","","","","",2073/2074,BANK CHARGE,""
28-JUL-16,7374-01534,JVR,1030201000011,"",EXPRESS CHQ PRESEMENT FEE on 28-07-2016,NRS,,,2100,CR,"","","","","","","",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
*********
29-JUL-16,7374-01535,JVR,4010000000035,"",paid for guest   refreshment,NRS,,,7370,DR,"","","","","",1643100,"",2073/2074,GUEST REFRESHMENT & TEA EXPENSES,""
29-JUL-16,7374-01535,JVR,103020100001,"",paid for guest   refreshment,NRS,,,7370,CR,"","","","","",1643100,"",2073/2074,CIVIL BANK LTD -CURRENT,""
*********
03-AUG-16,7374-02314,JVR,4010000000058,"",outward clearing charge on 03-08-2016,NRS,,,490,DR,"","","","","","","",2073/2074,CHEQUE CLEARING CHARGE,""
03-AUG-16,7374-02314,JVR,1030201000011,"",outward clearing charge on 03-08-2016,NRS,,,490,CR,"","","","","","","",2073/2074,GLOBAL IME BANK LTD. CURRENT,""
*********
